question,answer
请简述连环计的情节,"（连环计就是让敌人自己牵制自己，然后再去谋取。用一条计谋使敌人自己牵制自己，再用一计进攻敌人，两条计谋结合起来运用，就能够摧毁势力强大的敌人。）赤壁之战前夕,庞统向周瑜献连环计，瑜设计使蒋干邀庞统到曹营。操与统同观营寨，又共论兵法。统对答如流使操敬服。统乘机提出：大江中风浪不息使北兵易生疾病。可将大小船配搭，首尾用铁环连锁，铺阔板以便人马行走。操闻之大喜，派人连夜打造连环大钉，锁住船只。这为周瑜火攻曹军提供有利条件。
"
请简述庞统救徐庶之计的情节,"徐庶严守破曹的秘密，庞统教徐庶远离战祸的方法：密使近人去各寨中散布谣言，西凉州韩遂、马腾谋反，杀将许都，徐庶自荐请三千兵马星夜往散关，把住隘口。
"
请简述曹操横槊赋诗的情节,"建安十三年冬，曹操率八十万大军抵江北，欲灭孙刘，统一天下。明月皎洁之夜, 操在江上置酒设乐欢宴诸将。操请诸将为统一同心协力，日后共享富贵。酒酣，操取槊立船头，慷慨而唱《短歌行》，表达对贤才的渴慕。歌罢，刺史刘馥说此歌不祥，操乘醉用槊将其刺死，后果乐极生悲，险些在赤壁一战丢性命。
"
请简述诸葛亮七星坛借东风的情节,"周瑜为没有东南风而病倒在床上。诸葛亮给周瑜开了个“药方”，上面写着：“万事俱备，只欠东风。”说他能借来东风，他让周瑜为他搭起高九尺的七星坛，然后自己在坛上做法。几天之后，果然刮起了东南风。周瑜嫉妒，便派人去杀诸葛亮。然而诸葛亮早有预防，事先回夏口去了。
"
请简述赤壁之战的情节。,"曹操率大军南征，处于弱势的蜀吴联合抗曹，兵决定采用火攻的策略。周瑜行反间计骗取曹操杀了水军将领，又以连环计让曹军战舰相连成。诸葛亮作法祭来东南风；黄盖行苦肉计诈降。率船顺风纵火冲向对岸，火烧曹军水寨，延及岸上大营。曹军全面溃败。
"
杜牧《赤壁》诗中“东风不与周郎便，铜雀春深锁二乔”，写的是《三国演义》中的哪一场战役？请简述。,"赤壁之战。曹操基本统一北方后，挥师南下，欲一举统一天下。危急时刻，刘备派诸葛亮随鲁肃赴柴桑会见孙权，说服孙权结盟抗曹。孙权命周瑜为主将，联合刘备军，迎击曹军。孙刘联军与曹军对峙于赤壁，周瑜采纳部将黄盖所献的苦肉计，对曹军实施火攻，曹军船阵被烧，孙刘联军乘势出击，曹军死伤过半，遂率部北退。
"
请简述曹操“三笑”的情节。,"赤壁大败后，曹操从华容道败走，他三笑诸葛亮、周瑜智谋不足，未在险要处暗设伏兵。然而一笑笑出赵云，二笑笑出张飞，多亏部下相救才得以逃脱，三笑笑出关羽，且又在万夫莫开的花容道上，曹操以昔日之情说动关羽，关羽义重如山，放了曹操。
"
诸葛亮为何会派关羽把守华容道？关羽放走曹操，受军令状处罚了吗？请简述相关情节。,"关羽自动请缨，并保证不因昔日之恩而放走曹操，还立下军令状；另外，诸葛亮夜观天象，曹操未合身亡，于是才派关羽把守华容道，留个人情给关羽。关羽放走曹操，诸葛亮欲斩关羽，刘备以桃园结义誓同生死为由请求告免，诸葛亮方才饶了关羽。
"
请简述赵云拒亲的情节。,"孔明派赵云攻取桂阳郡，太守赵范投降，并拜赵云为兄长，要将自己守寡的嫂子徐给赵云，赵云怒，打到赵范，上马出城。后赵范复叛，又被赵云活捉。刘备问赵云拒亲的缘由，赵云说：“但恐名誉不立，何患无妻子乎？”刘备赞：“子龙真丈夫也。”
"
"请简述刘备借荆州,一借永不还的情节。","赤壁战后，周瑜任南郡太守，坐镇荆州，而刘备驻守地小物薄的公安，不利发展。于是刘备向孙权两次提出借荆州。孙权采纳周瑜的建议，非但不借，反利用联姻软禁刘备。周瑜病故，鲁肃继任。鲁肃从抗曹战略出发劝孙权暂借荆州。刘备借得后，以之为立足点，北抗曹操，西取益州，建立蜀汉政权。
"
请简述关云长义释黄汉升的情节。,"关羽攻打长沙，与大将黄忠大战，黄忠战马有失，跌倒在地，关羽不杀黄忠，让他换马再战。太守韩玄将自己的青马送给黄忠，并令其射死关羽。黄忠心下不忍，几次虚射后，射中关羽盔缨根上。韩玄以为黄忠叛变欲杀之，魏延突然杀出，斩杀韩玄，开城投降。
"
请简述刘备娶亲的情节。,"周瑜设计在甘露寺招亲，试图软禁刘备。吴国太起初时对孙权行美人计不满，但见了刘备后大喜，以为“真吾婿也！”。但孙权一意孤行，刘备哀求乔国老，乔国老为刘备禀告吴国太，令作护持，因此刘备和孙夫人得以砸死甘露寺完婚。
"
请简述诸葛亮的锦囊妙计的情节。,"孙权向刘备讨还荆州遭到拒绝后，周瑜向孙权献上“美人计”；用孙权之妹为饵，将刘备骗到东吴，逼还荆州。诸葛亮将计就计，让刘备择日就亲，并给赵云三个锦囊，教赵云依次而行。结果，刘备一行人按照锦囊中的策划，私会乔国老，智激孙夫人，其后又再气周公瑾，使得东吴“赔了夫人又折兵”。
"
请简述锦囊妙计的具体内容。,"孙权引诱刘备入东吴招亲，要挟其交还荆州。孔明在临行前交给赵云三个锦囊，令其依计行事。第一个锦囊：一到东吴就拜会乔国老，使刘备的消息人尽皆知。第二个锦囊：对刘备谎称曹操打到荆州，让沉浸在温柔乡里的刘备及早返回。第三个锦囊：回荆州途中遇上东吴的追兵，让刘备求孙夫人解围。
"
请简述三气周瑜的情节,"赤壁大战后第二年，周瑜去夺荆州，却被诸葛亮抢先夺去，火气攻心，箭伤破裂；瑜本想假借把孙权的妹妹嫁给刘备这一机会，逼诸葛亮交出荆州，不料亮让赵云依锦囊行事，使瑜“赔了夫人又折兵”，再次生病；周瑜想用“假途灭虢”之计取荆州，被诸葛亮识破，仰天长叹“既生瑜，何生亮？”连叫数声而死。
"
请简述“卧龙吊丧”的情节。,"周瑜气死后，诸葛亮与赵云引五百军，具祭礼，乘船前往柴桑口吊祭。亮设祭物于周瑜灵前，亲自奠酒，跪读祭文，哭诉二人合力抗曹之谊及从此更无知音之憾。东吴诸将始欲杀亮，皆被其哀哭所感动，自思孔明自是多情，乃公瑾量窄，自取死耳。诸葛亮祭罢，遇庞统，劝统投奔刘备，然后安然返回荆州。
"
请简述“风雏理事”的情节。,"鲁肃、孔明各作荐书劝庞统投奔刘备。统见了备未出示荐书。备因统貌陋且长揖不跪而不悦，便让统任耒阳县令。统不理政事，终日饮酒为乐。备大怒，让张飞去讯问。张飞见统衣冠不整，扶醉而出，欲问罪。统便在不到半日间将百余日所积公务尽皆剖断，曲直分明，令人叹服。张飞的力荐和鲁孔的荐书让统被重用。
"
请简述曹操割须弃袍的情节。,"曹操被马超击败溃逃，听见有人叫：“穿红袍的是曹操!”便脱下红袍。又听见大叫：“长胡子的是曹操!”便惊慌割了胡子。又听见：“短胡子的是曹操!”立即扯起衣角包着下巴逃跑。马超追上，曹操吓得绕树而走，马超一枪刺在树上，曹操乘机逃走。马超追去，被曹洪拦住。曹操逃脱。
"
请简述许诸裸衣斗马超的情节。,"马超到曹军营寨前求战，许诸约马超来日决战。次日，两军出营布阵。许诸与马超斗了两个一百多回合，不分胜负。许诸性起，卸甲赤体提刀，来与马超厮杀，直到两人弃刀断枪，在马上乱战。后来两军混杀，操兵大乱，许诸臂中两箭。
"
请简述曹操抹书间韩遂的情节。,"曹操采用贾诩的离间计，约韩遂单独谈话，不言军务直言京师旧事，马超心甚疑。曹操又派人送去一封涂改的书信，马超以为是韩遂有意涂改。韩遂为表真心和马超约定，他赚曹操阵前说话，马超趁机刺杀，失败后，马超大怒，砍断韩遂一只手臂，二人反目，韩遂投降。
"
请简述张松献图的经过。,"张松入许都拜见曹操，因相貌丑陋遭到曹操的傲慢对待，被曹操乱棍赶走。张松在归川的路上，赵云得命等候在路上迎接他，张松得到刘备的厚待，就将私自绘制的西蜀地形图交给刘备，又将法正、孟达推荐给刘备。
"
介绍一下桃园三结义的故事情节,"东汉末年，朝政腐败，再加上连年灾荒，人民生活非常困苦。刘备有意拯救百姓，张飞、关羽又愿与刘备共同干一番事业。三人情投意合，选定张飞庄后一桃园。此时正值桃花盛开，景色美丽， 张飞准备了青牛白马，作为祭品，焚香礼拜，宣誓完毕；三个人按年岁认了兄弟。刘备年长做了大哥，关羽第二，张飞最小做了弟弟。
"
介绍一下草船借箭的故事情节,"周瑜看到足智多谋的诸葛亮处处比自己高出一筹，便心怀嫉妒，甚至一心想将诸葛亮置于死地而后快。他以军 中缺箭为名， 心生一计，让诸葛亮十天内造出十万支箭。由此看来周瑜不仅忌妒心强，而且又十分阴险狡猾。然而，独具慧眼的诸葛亮却满口答应下来，趁着大雾漫 天，用草船向曹营""借""了十万支箭，提前七天顺利地完成了任务，使周瑜的阴谋彻底失败。
"
介绍一下空城计的故事情节,"三国时期，魏国派司马懿挂帅进攻蜀国街亭，诸葛亮派马谡驻守失败。司马懿率兵乘胜直逼西城，诸葛亮无兵迎敌，但沉着镇定， 大开城门，自己在城楼上弹琴。司马懿怀疑设有埋伏，引兵退去。等得知西城是空城回去再战，赵云赶回解围。		三顾茅庐：刘 备听说诸葛亮很有学识，又有才能，就和关羽、张飞带着礼物到隆中卧龙岗去请诸葛亮出来帮助他替国家做事。恰巧诸葛亮这天出去了，刘备只得失望地回去。不 久，刘备又和关羽、张飞冒着大风雪第二次去请。不料诸葛亮又出外闲游去了，第三次拜访才见到诸葛亮。在这一过程中，刘备表现出极大的耐心和诚恳。	过五关斩六将：关羽与刘备、张飞失散，后来得到了刘备的消息，因此，立即向曹操请辞， 但曹操避而不见，最后，关羽只能不辞而别。由于，没有得到曹操的手谕，因此，一路之上遭到了层层拦阻，但关羽凭借一己之力，过了五个曹操所辖关（城市），立斩曹操六员大将。具体是指过东岭关时杀孔秀；过洛阳城时杀韩福、孟坦；过汜水关时杀卞喜；过荥阳时杀太守王植；过黄河渡口时杀秦琪。
"
介绍一下单骑救主的故事情节,"新野一战，刘备以少胜多打败曹操，曹操引五十万大军前来报仇。刘备的三千人马走到当阳县，突然被曹兵截住，战到天明才摆脱曹兵的追赶，护卫刘备家小的赵云发现不见了刘备，走散了糜夫人母子，急集合三十骑，又杀回乱军中寻找。赵云力战众将，威武勇猛。正在山上观战的曹操见赵云势不可挡，传令一定要活捉。赵云利用这个机会冲出包围，连杀50员曹将，终于将阿斗交给了刘备。
"
介绍一下水淹七军的故事情节,"刘备自立为汉中王后，关羽亲自率领大军进攻樊城。樊城的魏军守将曹仁赶快向曹操求救。曹操派了于禁、庞德两员大将率领七支人马前去增援。正在双方相持不下的时候，樊城一带下了一场大雨。汉水猛涨，平地的水高出地面有一丈多。于禁的军营扎在平地上， 四面八方大水冲来，把七军的军营全淹没了。于禁和他的将士不得不泅水找个高地避水。关羽早就抓住于禁在平地上扎营这个弱点。他趁着大水，安排好一批大小船只，率领水军向曹军进攻。他们先把主将于禁围住，叫他放下武器投降。于禁被围在一个汉水中的小土堆上， 逼得无路可退，就垂头丧气地投降了。庞德掉在水里，关羽水军赶上去，把他活捉了。	火烧连营：刘备为报吴夺荆州、关羽被杀之仇， 率大军攻吴。吴将陆逊为避其锋，坚守不战，双方成对峙之势。蜀军远征，补给困难，又不能速战速决，加上入夏以后天气炎热，以致锐气渐失，士气低落。刘备为舒缓军士酷热之苦，命蜀军在山林中安营扎寨以避暑热。陆逊看准时机，命士兵每人带一把茅草，到达蜀军营垒时边放火边猛攻。蜀军营寨的木栅和周围的林木为易燃之物，火势迅速在各营漫延。蜀军大乱，被吴军连破四十余营。陆逊火烧连营的成功，决定了猇亭之战蜀败吴胜的结果。
"
介绍一下七擒孟获的故事情节,"蜀丞相诸葛亮受昭烈帝刘备托孤遗诏，立志北伐，以重兴汉室。就在这时，蜀南方之南蛮又来犯蜀，诸葛亮当即点兵南征。到了南蛮之地，双方首战诸葛亮就大获全胜，擒住了南蛮的首领孟获。但孟获却不服气，其间诸葛亮采用马谡攻心的计策，七擒孟获，孔明都放了他。孟获起誓：以后将决不再谋反。孔明见他已心悦诚服，觉得可以利用，于是便委派他掌管南蛮之地，孟获等听后不禁深受感动。从此孔明便不再为南蛮担心而专心对付魏国去了。
"
介绍一下借东风的故事情节,"诸葛亮与周瑜制定了火攻曹营的计划。但连日来江上一直刮西北风，用火攻不但烧不着北岸的曹兵，反而会烧到自己。诸葛亮说他能借来东风，他让周瑜为他搭起高九尺的七星坛，然后自己在坛上做法。几天之后，果然刮起了东南风，为后来赤壁之战取得胜利奠定了物质基础。 白帝城托孤：荆州被吴国攻占，关羽兵败被俘，不降， 被杀。刘备闻后尽起全国大兵去讨伐吴国，为关羽报仇，但被吴火烧联营，大败后兵败退到白帝城，一病不起，刘备对诸葛亮说：""如果你看阿斗是个当皇帝的料子，你就辅佐他，如果他不是个当皇帝的料子，你就把他废黜了，你自己当皇帝吧。""诸葛亮一听立刻跪下说： 我一定会全心全意辅佐刘禅的，绝不敢有一点自己当皇帝的意思。一定会做到鞠躬尽瘁，死而后已。
"
简述一下官渡之战,"袁绍率十万大军进驻官渡，企图消灭曹操的军队。谋士许攸遭疑投降曹操， 并且提供了许多情报。曹操得知袁绍在乌巢囤积了大量粮草，立即亲率精锐军队连夜奔袭乌巢。袁绍只派少量骑兵救援乌巢，仍然留主力进攻官渡。由于乌巢粮草被烧光，袁军上下恐慌，官渡前线的大将亦投降曹操。
"
简述一下赤壁之战,"曹操统一北方后，决定南下一举统一。刘备派诸葛亮舌战群儒，在周瑜、鲁肃支持下，孙权决定抵抗。周瑜利用北兵多不惯水战及发生疾病等弱点，定下火攻策略，并实施苦肉计，派黄盖诈降。曹操轻信，登上用铁索连在一起的战船。诸葛亮借来东风，黄盖顺风直扑曹军水寨。曹操大败北还。
"
简述一下彝陵之战,"刘备为替关羽复仇，亲率大军讨伐东吴。孙权起用青年将领陆逊，赴猇亭前线指挥作战。陆逊力排众议，决定坚守，避免交战。由于天气燥热，蜀军将士疲惫不堪，戒备松懈。陆逊及时抓住战机，下令采用火攻，烧尽蜀军 40 多座军营。蜀军全线崩溃。刘备逃回白帝城。不久羞愧发病而死。
"
简述一下水淹七军,"公元 219 年秋季，关羽在襄阳、樊城抗曹。关羽仔细考察地形，发现襄江与白河水势甚急，又发现曹军驻扎在山谷之内，于是派人堵住各处水口，趁夜晚风雨大作之际，放水淹没曹军。大意的于禁则没有采取防范措施，全军覆没， 于禁投降，庞德被擒。
"
简述一下汉中争夺战,"曹操夺取汉中，令曹洪、夏侯渊镇守。张飞打败张邰夺取瓦口隘，黄忠夺取天荡山，并听从法正的计策在定军山半山以逸待劳斩杀夏侯渊。从许都赶来的曹操战局不利，发布鸡肋军令，借故斩杀杨修，不久退兵。刘备夺取汉中， 进位汉中王。
"
简述一下刮骨疗毒,"关羽旧时箭伤常在阴天发作。华佗认为应当切开臂膀刮掉渗入毒药，病才能根除。关羽便伸出臂膀让华佗切开。华佗用刀刮骨，悉悉有声。左右掩面失色。关羽却饮酒食肉，谈笑弈棋，神色自若。华佗刮尽其毒，敷上药，以线缝之。关公大笑而起。华佗称赞说：“君侯真天神也!”
"
简述一下煮酒论英雄,"曹操派人请刘备到小亭煮青梅喝酒。曹操问刘备当世英雄是谁，刘备说了几个人，都被否定。刘备反问曹操，曹操说：“今天下英雄，惟使君与操耳!” 刘备惊得手中的筷子掉在地下。突然天降大雨，雷声大作，刘备说是因为害怕打雷，才掉了筷子。曹操认为刘备胆小如鼠，再也不疑刘备了。
"
简述一下空城计,"诸葛亮失守街亭。司马懿亲率大军扑来。诸葛亮身边没有作战力量。诸葛亮于是披上一件宽大长衫，戴一顶便帽，登上城楼，凭着楼上栏杆端端正正地坐下，点燃香，安然自得弹起琴来。司马懿来到城下，看不出丝毫破绽。忽然他神色一变，忙下令马上撤退。
"
简述一下单刀赴会,"鲁肃为夺回荆州，设酒宴招待关羽。席间埋伏刀斧手。关羽早有准备，只带领十几个随从人员，轻驾小舟，单刀赴会，席间，关羽借与鲁肃叙旧为由， 拉着鲁肃不放手，实则以鲁肃为人质。埋伏刀斧手见鲁肃被困，未敢轻易下手。关羽安然离去。
"
简述一下关羽温酒斩华雄,"袁绍率十八路诸侯讨伐董卓，虎牢关守将华雄一连斩杀联军多员大将。关羽主动请缨，因为身份低微而受他人嘲笑。关羽于是立下军令状。曹操觉得他是英雄，奉温好的美酒一杯，关羽道：“酒且斟下，某去便来。”关羽瞬间拿了华雄的首级回营，此时酒尚未冷。
"
简述一下张飞大闹长坂桥,"文聘追赵云至长坂桥，见张飞立马桥上，疑桥东有伏兵，不敢近前。曹操大军赶到。张飞睁圆环眼，厉声大喝日，声如巨雷，曹军股栗。曹操想起关羽曾说张飞勇武无敌，便下令不可轻敌。言未已，张飞睁目又喝。曹操颇有退心。张飞挺矛再喝，夏侯杰惊毙。操回马而走。
"
简述一下刘备仁厚,"刘备伐吴，命黄权屯驻江北，不久刘备战败，黄权撤退之路被吴军封死， 黄权遂率军投降曹魏。有人建议刘备逮捕黄权的妻、子，刘备认为是他的过错导致战败，才使黄权没了退路，投降曹魏是迫不得已之举，不准有关部门逮捕黄权的家人，并“待之如初”。
"
简述一下曹操割须弃袍,"曹操被马超击败溃逃，听见有人叫：“穿红袍的是曹操!”便脱下红袍。又听见大叫：“长胡子的是曹操!”便惊慌割了胡子。又听见：“短胡子的是曹操!”立即扯起衣角包着下巴逃跑。马超追上，曹操吓得绕树而走，马超一枪刺在树上，曹操乘机逃走。马超追去，被曹洪拦住。曹操逃脱。
"
简述一下司马懿忍辱受衣,"孔明屡次令人搦战，司马懿不予理睬，孔明就拿取妇人的丧冠——巾帽， 外加妇人素缟衣服，写了一封书信，用大盒子装了，送到魏寨。嘲笑司马懿甘愿守巢窟畏刀避箭，与寡妇没有什么区别。司马懿看完书信，忍住心中大怒而佯笑，接受衣服，并重赏了来使。
"
简述一下刘备摔阿斗的故事,"赵云与乱军中救回阿斗，双手递与玄德。玄德接过，掷之于地日：“为汝这孺子，几损我一员大将!”赵云忙向地下抱起阿斗，泣拜日：“云虽肝脑涂地， 不能报也!”
"
简述一下刘备携民渡江,"曹操大军压境时，刘备率部从荆州向南撤退，荆州十余万百姓自愿跟随刘备撤退。有人对刘备说：“我们应该赶快退保江陵。现在带着这么多老百姓， 能作战的人不多，若曹操大军追上，何以拒之?”刘备说：“夫举大事者必以人为本，今人归我，奈何弃之。
"
简述一个表现诸葛亮“多智近妖”的故事,"诸葛亮借东风。周瑜为没有东南风而病倒在床上。诸葛亮给周瑜开了个“药方”，上面写着：“万事俱备，只欠东风。”说他能借来东风，他让周瑜为他搭起高九尺的七星坛，然后自己在坛上做法。几天之后，果然刮起了东南风。周瑜嫉妒，便派人去杀诸葛亮。然而诸葛亮早有预防，事先回夏口去了。
"
简述《三国演义》中能体现曹操 “奸雄”性格的一个故事,"曹操献刀，董卓欺主弄权，曹操借王允七星宝刀进府行刺，见董卓躺下，急抽刀欲刺。董卓在穿衣镜内看见了曹操的动作，转身相问。曹操急中生智说：“我得一口宝刀，欲献恩相。”董卓接刀一看，果然是一口宝刀。董卓引曹操出阁看马， 曹操谢道：“愿借马一试。”然后快马加鞭逃之夭夭。
"
简述《三国演义》中能体现关羽 “忠义”性格的一个故事。,"关云长干里走单骑。关羽与刘备失散，暂居曹营。曹操一心想收服关羽，三日一小宴，五日一大宴，赐美女、金银、官职等物品，关羽独留下赤兔马，以便来日寻刘备方便。听到刘备下落后，关羽将官印吊于屋中，带上嫂嫂，奔向刘备。途中因没获曹操批准，在五个关口受到阻拦，关羽皆杀之闯关。
"
简述《三国演义》中能体现“骄兵必败”主题的一个故事,"关羽大意失荆州。关羽拒绝和孙权联姻，激怒了孙权。孙权令吕蒙夺回荆州。吕蒙把战士化装成商人的模样，骗过了关羽的江边守军，顺利渡江，趁关羽轻敌，毫无防备， 没伤一兵一卒就占领了荆州。同时关羽在前线被徐晃包围，败退到麦城。吕蒙又把麦城紧紧围住，关羽突围不成功，被俘不降，孙权杀之。
"
简要概括曹魏势力的兴亡过程。,"曹操挟天子以令诸侯，在官渡打败袁绍，统一北方。不久在赤壁大败，形成鼎立之势。曹丕在曹操死后逼汉献帝禅位，建立魏国。曹丕，曹睿继位，司马懿逐渐得势，并在高平陵政变中击杀大将军曹爽。司马懿之后，司马师、司马昭废曹芳，杀曹髦，后曹奂“禅位”于司马炎，曹魏亡国。
"
简要概括蜀汉势力的兴亡过程。,"皇叔刘备得到诸葛亮的帮助，在赤壁之战中打败曹操，夺取荆州和益州。不久关羽被孙仅杀死，刘备称帝伐吴，被陆逊击败。刘备在永安托孤给诸葛亮后死去。诸葛亮结好孙权，七擒孟获，六出祁山，为司马懿所困，在五丈原死去。姜维九伐中原，无功而返。不久，邓艾、钟会来攻，刘禅出降。
"
简要概括孙吴势力的兴亡过程。,"孙坚之子孙策在周瑜等人的帮助下平定江东后遇刺身亡。继位的孙权联合刘备，在赤壁打败曹操。后来因为荆州问题与曹魏联合，设计捕杀关羽，并派陆逊大败来犯的刘备。不久孙权称帝建立吴国。孙权死后，孙亮、、孙休、孙皓相继继位，朝政动荡。孙皓暴虐无道，于 280 年为西晋所灭。
"
简述《三国演义》中的一个精彩的计谋。答：王允连环计,"董卓为乱朝政。司徒王允先将美貌的义女貂蝉许给董卓的义子吕布，不久却把她送给董卓。吕布大怒，在凤仪亭与貂蝉相会，被董卓发现，貂蝉乘机离间董吕的关系。王允与吕布联合，诱使董卓离开长安，吕布杀死董卓。不久吕布被迫出走，而王允也被董卓部将杀死。
"
简述《三国演义》中的一个精彩的战斗场面。,"三英战吕布。吕布在虎牢关斩杀多名联军大将。张飞抖擞精神，来战吕布。连斗五十余合，不分胜负。云长见了，把马一拍，舞八十二斤青龙偃月刀，来夹攻吕布。战到三十合，战不倒吕布。刘备掣双股剑，骤黄鬃马，刺斜里也来助战。吕布力穷而退，诸侯大军一齐掩杀，吕布退还虎牢关。
"
《三国演义》中哪个场面最能让人发出“出师末捷身先死，长使英雄泪满天襟！”的感叹？请简要概括。,"秋风五丈原。诸葛六次出兵祁山，司马懿坚守不战。诸葛亮派人侮辱，司马懿不为所动。不久诸葛亮病危。穰星不成，遂将平生所学传授给姜维，并作好身后的军事安排。尚书李福赶到，诸葛亮推等蒋琬、费袆相继为丞相继承人后死去。时年五十四岁。是夜，天愁地惨，月色无光。
"
结合具体的情节思考赤壁之战中为什么孙刘联军能以弱胜强？,"天时胜：刘备汉室宗亲，操乃汉贼。曹军流行疾病。东南风起。地利胜：南方多江湖，北军不善水战。人和胜：曹操骄傲，心气浮躁。荆州新降，人心未附，士气低落。孙刘背水一战，决心很大。周瑜、诸葛亮等人计谋精妙，处处占先。
"
结合具体的情节思考刘备为什么会在夷陵之战中败结陆逊？,"天时：曹丕篡汉，刘备汉室宗亲，不讨贼而攻吴，政治不利。当时天气干燥。地利：刘备孤军深入，不谙地势。于森林茂盛处扎营，给陆逊可乘之机。人和：刘备不听诸葛亮赵云之计，内部不和；枉自托大，小看陆逊；不听黄权劝告，一意深入。而孙权结盟曹丕，上下精诚团结。陆逊一时人杰。
"
简述《三国演义》中一个与数字“三”有关的故事。,"刘玄德三顾茅庐。由于徐庶的推荐，刘备、关羽、张飞三次前往隆中拜访诸葛亮。第一次小僮说诸葛刚外出远游。第二次刘备只见到诸葛均，就留下一封信表达敬慕之情， 然后冒雪回去。第三次恰好诸葛亮在午睡，刘备一直等到他睡醒更衣后才得以相见。诸葛亮被刘备求贤若渴的诚心感动，最终答应出山共图大业。
"
简述《三国演义》中一个与数字“三”有关的故事。,"诸葛亮三气周瑜。孙刘联合破曹。周瑜气量狭小，多次设计害诸葛而不得。周瑜在孙刘破曹战中受伤，被孔明调赵子龙先夺城池，周瑜怒火攻心；周瑜孙权用美人计骗刘备至吴，企图谋害，被孔明识破，周瑜赔了夫人又折兵；周瑜欲突袭荆州，诸葛亮将计就计，打败周瑜。周瑜被气死前大呼：“既生瑜，何生亮!”
"
简述《三国演义》中一个与数字“三”有关的故事。,"刘、关、张桃园三结义；
"
简述《三国演义》中一个与数字“三”有关的故事。,"刘、关、张三英战吕布；
"
简述《三国演义》中一个与数字“三”有关的故事。,"陶谦三让徐州； 
"
简述《三国演义》中一个与数字“三”有关的故事。,"土屯山关公约三事；
"
简述《三国演义》中一个与数字“三”有关的故事。,"荆州城公子三求计；
"
简述《三国演义》中一个与数字“三”有关的故事。,"诸葛亮智取三城亦可。
"
简述诸葛亮尽忠的一个例子。,"刘备称帝后伐吴，在夷陵之战中被陆逊击败，退守到白帝城。从此刘备一病不起。临终将其儿子刘禅托孤于诸葛亮，诸葛亮哭着答应：“臣怎么敢不竭尽全力，辅助幼主，鞠躬尽瘁，死而后已呢？”后来，尽管刘禅很不成器， 但诸葛亮还是尽力辅佐，真正做到了“鞠躬尽瘁，死而后已”。
"
简述《三国演义》中“失街亭”这一情节中诸葛亮、马谡所表现出来的性格缺陷。,"诸葛亮足智多谋，对街亭布防十分细致周密，但世人不深、用人不当，不听刘备生前劝告，致使街亭失陷全局被动。马谡虽能自动请缨，挺身而出，但只会纸上谈兵，而且麻痹大意，刚愎自用，目中无人，公然违令，不听王平之劝，草率从事，致使蜀军咽喉之地迅速丢失，造成全局被动。
"
马谡拒谏失街亭后，诸葛亮作了那几件事情表明了他能够明证军法， 奖罚分明？,"一、欲赠金五十斤给赵云，赏绢一万匹给赵云的部卒，来表彰赵云在街亭之战中不折一人一骑，不丢辎重的功劳。二、虽有蒋琬等人的劝阻，仍将自己平日一贯倚重且关系甚好的马谡斩首，以明军令。三、上表刘禅，承认用人之失，要求自贬三等。
"
简述一下王允连环计。,"董卓为乱朝政。司徒王允先将美貌的义女貂蝉许给董卓的义子吕布，不久却把她送给董卓。吕布大怒，在凤仪亭与貂蝉相会，被董卓发现，貂蝉乘机离间董吕的关系。王允与吕布联合，诱使董卓离开长安，吕布杀死董卓。不久吕布被迫出走，而王允也被董卓部将杀死。
"
简述一下曹操抹书间韩遂,"曹操想要除掉武艺超群的马超，于是就给韩遂写了封信，将信中的一些“紧要处” 用笔涂掉。信中的那些涂抹引起了马超的怀疑，他认为韩遂与曹操之间有秘密交易。后来曹操又使用其他小手段加深了马超的疑心，终于马韩反目成仇，并大打出手，曹操坐收渔利。
"
简述一下锦囊妙计：,"孙权用公瑾之计，引刘备入东吴招亲，要挟刘备交还荆州。诸葛亮在他临行前交给赵云三个用锦做成的袋子，吩咐说：“内封三条神妙计策，到时依次打开行事。”赵云和刘备、孙乾率五百军士到南许，依锦囊妙计破了公瑾计策， 娶了孙权之妹孙尚香逃回荆州。让东吴“赔了夫人又折兵”。
"
简述一下巧献连环,"赤壁之战前，蒋干极力推荐庞统去见曹操。曹操正为不习水性的北方士兵晕船生病发愁，向庞统求教。庞统有心让东吴与刘备取胜，于是建议把船只大小搭配，用铁链锁住连环，上铺宽木板，这样能让船上的兵马如履平地。曹操立即传令铁匠连夜打造连环大钉，锁住船只。
"
简述一下郭嘉遗计定辽东,"众将请令攻辽东，曹操依计按兵不动。数日之后，公孙康带着袁熙、袁尚的首级前来投降，辽东归操所有。原来郭嘉遗书上写：二袁投辽东，不可出兵； 公孙康一直害怕会被二袁吞并，二袁前去投靠，他必有疑心。若出兵，必联合抗击；若不出兵，必自相残杀。
"
简述一下木牛流马,"诸葛亮六出祁山，司马懿兵屯渭水，两军相拒，蜀军粮草接济不便，诸葛亮在上方谷造木牛流马运送粮草。司马懿派兵夺得木牛流马，命营中工匠依样仿造，也用于搬运粮草，不料中计，被蜀军劫去，司马懿大怒，率兵追杀，却遭蜀军埋伏，险些丧命。
"
简述一下诈病夺权,"曹爽派人到政敌司马懿家拜访，探听虚实。司马懿装得老态龙钟，耳聋眼花，喝汤洒满衣襟，讲话口齿不清。曹爽以为他危在旦夕，对他丧失了警惕。当曹爽跟随小皇帝曹芳出洛阳城，祭扫曹叡陵墓。司马懿趁机发动政变，逼迫曹爽交出权力，随即将其杀死。
"
